Loaded checkpoint from ckpt/sam_med3d_turbo.pth (epoch 0)
Epoch: 0/199
Dice Loss: 0.775150, CE Loss: 40.011253, Total: 40.786404
Dice Loss: 0.645731, CE Loss: 31.521534, Total: 32.167263
Dice Loss: 0.803879, CE Loss: 37.879082, Total: 38.682961
Dice Loss: 0.799391, CE Loss: 39.669067, Total: 40.468460
Dice Loss: 0.610099, CE Loss: 27.141565, Total: 27.751665
Dice Loss: 0.822503, CE Loss: 45.385468, Total: 46.207970
Dice Loss: 0.693926, CE Loss: 32.293182, Total: 32.987110
Dice Loss: 0.608585, CE Loss: 30.125084, Total: 30.733669
Dice Loss: 0.470950, CE Loss: 22.987812, Total: 23.458763
Dice Loss: 0.438825, CE Loss: 20.979866, Total: 21.418692
Dice Loss: 0.343478, CE Loss: 16.901680, Total: 17.245157
Dice Loss: 0.604679, CE Loss: 20.276489, Total: 20.881168
Dice Loss: 0.437403, CE Loss: 12.458248, Total: 12.895651
Dice Loss: 0.677943, CE Loss: 30.248602, Total: 30.926544
Dice Loss: 0.700689, CE Loss: 32.680588, Total: 33.381279
Dice Loss: 0.642063, CE Loss: 18.360260, Total: 19.002323
Dice Loss: 0.577360, CE Loss: 15.934215, Total: 16.511574
Dice Loss: 0.624474, CE Loss: 24.167465, Total: 24.791939
Dice Loss: 0.716180, CE Loss: 26.146965, Total: 26.863146
Dice Loss: 0.672334, CE Loss: 26.625479, Total: 27.297812
Dice Loss: 0.715556, CE Loss: 27.604559, Total: 28.320116
Dice Loss: 0.734799, CE Loss: 29.600872, Total: 30.335670
Dice Loss: 0.505883, CE Loss: 16.444313, Total: 16.950195
Dice Loss: 0.606504, CE Loss: 26.716820, Total: 27.323324
Dice Loss: 0.497076, CE Loss: 19.135622, Total: 19.632698
Dice Loss: 0.668672, CE Loss: 25.828697, Total: 26.497370
Dice Loss: 0.461730, CE Loss: 16.785254, Total: 17.246984
Dice Loss: 0.289791, CE Loss: 8.824377, Total: 9.114168
Dice Loss: -0.012712, CE Loss: -7.239579, Total: -7.252291
Dice Loss: 0.105871, CE Loss: -2.076744, Total: -1.970873
Dice Loss: 0.297056, CE Loss: 7.931421, Total: 8.228477
Dice Loss: 0.123188, CE Loss: 0.680504, Total: 0.803692
Dice Loss: 0.019973, CE Loss: -3.516287, Total: -3.496314
Dice Loss: 0.671205, CE Loss: 37.964317, Total: 38.635521
Dice Loss: 0.484441, CE Loss: 19.664881, Total: 20.149323
Dice Loss: 0.651107, CE Loss: 28.856371, Total: 29.507477
Dice Loss: 0.708649, CE Loss: 36.948891, Total: 37.657539
Dice Loss: 0.628784, CE Loss: 31.311979, Total: 31.940763
Dice Loss: 0.785645, CE Loss: 49.392502, Total: 50.178146
Dice Loss: 0.799902, CE Loss: 51.913975, Total: 52.713879
Dice Loss: 0.809582, CE Loss: 53.289650, Total: 54.099232
Dice Loss: 0.767644, CE Loss: 42.284706, Total: 43.052349
Dice Loss: 0.787475, CE Loss: 51.641586, Total: 52.429062
Dice Loss: 0.787275, CE Loss: 48.855385, Total: 49.642658
Dice Loss: 0.812146, CE Loss: 49.053772, Total: 49.865917
Dice Loss: 0.750456, CE Loss: 38.263004, Total: 39.013458
